year,month,mean_flow
2000,1,207.9
2000,2,143.6
2000,3,320.1
2000,4,327.7
2000,5,434.8
2000,6,281.5
2000,7,296.6
2000,8,322.4
2000,9,244.1
2000,10,253.1
2000,11,225.7
2000,12,281
2001,1,317.9
2001,2,253.6
2001,3,278.8
2001,4,243.3
2001,5,256.3
2001,6,297.6
2001,7,366.6
2001,8,434.5
2001,9,386.1
2001,10,247.3
2001,11,170.2
2001,12,143.6
2002,1,101.5
2002,2,146.8
2002,3,129.7
2002,4,308.3
2002,5,324.8
2002,6,257.4
2002,7,377.5
2002,8,298
2002,9,133.9
2002,10,26.6
2002,11,46.5
2002,12,69.5
2003,1,149.9
2003,2,110.8
2003,3,163.1
2003,4,204.7
2003,5,392.1
2003,6,289.9
2003,7,323.6
2003,8,331.1
2003,9,173.5
2003,10,47.3
2003,11,13.8
2003,12,34.2
2004,1,55.1
2004,2,81.8
2004,3,195.9
2004,4,268.5
2004,5,275.1
2004,6,232.8
2004,7,244.3
2004,8,83.3
2004,9,12.2
2004,10,11.6
2004,11,18.4
2004,12,21.5
2005,1,24.9
2005,2,39.1
2005,3,110.6
2005,4,234.4
2005,5,654.9
2005,6,357
2005,7,235.4
2005,8,262.1
2005,9,200.8
2005,10,87.5
2005,11,160.4
2005,12,426.3
2006,1,242.2
2006,2,211.5
2006,3,180.8
2006,4,374.9
2006,5,654.1
2006,6,708.9
2006,7,242.1
2006,8,300.5
2006,9,248.8
2006,10,78.7
2006,11,97.7
2006,12,244.8
2007,1,260.6
2007,2,208.1
2007,3,202.5
2007,4,202.2
2007,5,226.2
2007,6,217.5
2007,7,305.9
2007,8,291.5
2007,9,284.6
2007,10,277
2007,11,206.4
2007,12,240.2
2008,1,187.3
2008,2,192.3
2008,3,126.9
2008,4,214.3
2008,5,318.1
2008,6,265
2008,7,405.5
2008,8,411.6
2008,9,216.8
2008,10,66.2
2008,11,48
2008,12,15.4
2009,1,42.6
2009,2,68.7
2009,3,146.9
2009,4,224.7
2009,5,465.2
2009,6,226.7
2009,7,346.3
2009,8,208
2009,9,62
2009,10,18.9
2009,11,12.2
2009,12,18
2010,1,30.7
2010,2,35.9
2010,3,76
2010,4,183.8
2010,5,313.6
2010,6,451.5
2010,7,264.8
2010,8,300.8
2010,9,108.2
2010,10,124.3
2010,11,146
2010,12,170.7
2011,1,121.3
2011,2,106.8
2011,3,145.8
2011,4,360.8
2011,5,519
2011,6,694.7
2011,7,332.7
2011,8,252.7
2011,9,147
2011,10,70.5
2011,11,63.4
2011,12,174.2
2012,1,290.7
2012,2,259.1
2012,3,270.6
2012,4,304.9
2012,5,281.2
2012,6,284.3
2012,7,399.9
2012,8,390
2012,9,193.7
2012,10,169.2
2012,11,234.2
2012,12,181.9
2013,1,169.5
2013,2,144.3
2013,3,163.9
2013,4,223.5
2013,5,218.4
2013,6,291.1
2013,7,354.7
2013,8,335.5
2013,9,208.8
2013,10,80.4
2013,11,153.6
2013,12,111.1
2014,1,70
2014,2,144.5
2014,3,137.7
2014,4,173.4
2014,5,241.7
2014,6,284.5
2014,7,211.1
2014,8,120.7
2014,9,29.3
2014,10,8.1
2014,11,9.57
2014,12,54.9
2015,1,20.5
2015,2,109.4
2015,3,54.7
2015,4,52.5
2015,5,54.7
2015,6,21.5
2015,7,7.18
2015,8,3.57
2015,9,3.27
2015,10,5.98
2015,11,9.12
2015,12,34.9
2016,1,78.8
2016,2,106.6
2016,3,226.5
2016,4,250.2
2016,5,301.8
2016,6,207.9
2016,7,137.6
2016,8,47.4
2016,9,9.06